,feature,pps,pearson,spearman,feature_type,n_methods,strongest_signal,rank_in_type
0,adr,0.26752938653805536,,,numeric,1,0.26752938653805536,5
1,agent,0.26906995376314546,,,categorical,1,0.26906995376314546,3
2,country,0.3287411170825457,,,categorical,1,0.3287411170825457,2
3,deposit_type,0.37544269037735484,,,categorical,1,0.37544269037735484,1
4,lead_time,0.25326893047188276,0.2926925818471944,0.3163574724287057,numeric,3,0.3163574724287057,1
5,market_segment,0.2004067936637256,,,categorical,1,0.2004067936637256,4
6,previous_bookings_not_canceled,,,-0.11535326808735402,numeric,1,0.11535326808735402,6
7,previous_cancellations,0.11524979393619858,0.11017875189802122,0.2704114147897279,numeric,3,0.2704114147897279,2
8,required_car_parking_spaces,,-0.19710438578501277,-0.19749541776507293,numeric,2,0.19749541776507293,4
9,total_of_special_requests,,-0.2348262654140389,-0.258695021548946,numeric,2,0.258695021548946,3
